statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
12,001,192,1412262,13.744399602327691,13.59521108689464,11.717270452995457,15.771528751659925,,
12,003,19,143777,13.063154016895659,13.214909199663367,7.742052969860062,20.645415211691276,,
12,005,215,926111,21.626205205548263,23.215359713900384,18.626077727534085,24.626332683562442,,
12,007,24,140379,17.400253829655192,17.09657427392986,11.03026831686143,26.10892418955089,,
12,009,654,3158206,18.142751203217223,20.707958885519183,16.62573545203923,19.659766954395216,,
12,011,1161,9836117,10.614482290527558,11.803438287690152,9.985115403561853,11.243849177493264,,
12,013,,,,,,,,
12,015,238,1010471,20.200539983524482,23.553372635137475,16.94251649193114,23.458563475117824,,
12,017,271,810492,28.532294923233486,33.43648055748854,24.356949366802617,32.707640479664356,,
12,019,197,1139919,16.90797688485048,17.28192968096856,14.48887614603984,19.327077623661122,,
12,021,294,1997490,13.468369739657668,14.71847168196086,11.697593963355787,15.239145515959548,,
12,023,73,361987,18.492108607086294,20.166470066604603,14.331130173155463,23.484324256432256,,
12,027,29,180963,16.344952749795542,16.025375352972706,10.77142685454698,23.781048107736,,
12,029,23,86362,22.196590710358954,26.63208355526736,13.558254257114774,34.28083410062819,,
12,031,827,5069180,15.781014129460987,16.314275681668434,14.683598860598062,16.878429398323913,,
12,033,319,1627835,18.63021153853837,19.596580734533905,16.51594859973427,20.744474477342468,,
12,035,122,634271,18.232730461791935,19.234680444163455,14.54046832891635,21.92499259466752,,
12,037,10,62844,13.114584561926675,15.91241805104704,5.661946768083938,25.84095974923453,,
12,039,28,220378,12.166685095717241,12.705442467033915,7.873637092253446,17.96042729771222,,
12,041,26,96057,23.81732578944966,27.067262146433887,14.926191269054177,36.05971747224026,,
12,043,14,64804,17.25796230750844,21.603604715758287,8.917440959266921,30.146187055589195,,
12,045,19,74780,18.076223321284566,25.40786306499064,10.332123474411349,29.35465419561951,,
12,047,18,69536,27.587212213863715,25.885872066267833,15.768475407847149,44.79990429226407,,
12,049,17,129720,13.178388228000541,13.105149552883132,7.53258752922701,21.400876854241474,,
12,051,36,213928,16.437320624124037,16.828091694401856,11.449196079313436,22.860333920987635,,
12,053,206,1037283,18.539726340867023,19.85957544855165,15.789728230412765,21.289724451321284,,
12,055,121,532945,20.610940364713546,22.704031372843353,16.231665882341026,24.990214847086065,,
12,057,1062,7606442,13.360441543351026,13.96184970581515,12.546852502251497,14.174030584450556,,
12,059,30,98849,26.292821031586755,30.349320681038755,17.327134735520964,38.25467417445297,,
12,061,178,835466,18.608987098127063,21.305475028307555,15.384109098882012,21.833865097372115,,
12,063,50,240592,19.738696272200023,20.782070891800227,14.503251580017917,26.248281581478597,,
12,065,16,75511,19.504349584068635,21.188965846035675,10.663209414360995,32.72498442554311,,
12,067,,,,,,,,
12,069,334,2050101,14.355297551278737,16.291880253704573,12.674232580984707,16.036362521572766,,
12,071,680,4096728,14.615082713431326,16.598612356007038,13.39630930910337,15.833856117759282,,
12,073,200,1483047,13.282583108672151,13.485749271600968,11.362682467653924,15.202483749690378,,
12,075,61,225942,25.740147269955152,26.998079153056977,19.223973152474855,33.754778586684964,,
